id, label, TF
1, reconditioning,  0.25
2, v7000 gen2 battery,  0.16666666666666666
3, battery ages,  0.08333333333333333
4, power loss events,  0.05555555555555555
5, battery end,  0.05555555555555555
6, life event,  0.05555555555555555
7, redundancy,  0.041666666666666664
8, recondition cycles,  0.03333333333333333
9, day delay,  0.03333333333333333
10, two-day delay,  0.03333333333333333
11, ** reconditioning rescheduled or canceled if the system loses redundancy, 0
12, **  As a battery ages it loses capacity, 0
13, **  if the system loses redundancy, 0
