id, label, TF
1, storwize v3700,  0.22636300897170464
2, storwize v3700.,  0.18497239475500346
3, storwize v3700 library,  0.08695652173913043
4, storwize\xae v3700,  0.043478260869565216
5, related publications product manuals,  0.043478260869565216
6, related publications product,  0.043478260869565216
7, other publications,  0.043478260869565216
8, adobe portable document format,  0.021739130434782608
9, adobe portable document,  0.021739130434782608
10, order number,  0.017080745341614908
11, ** empty, 0
