id, label, TF
1, mdisk,  0.19309044670499775
2, mdisks,  0.16331397587919327
3, storage pool,  0.10604430641821944
4, storage pools,  0.07907773386034254
5, cli,  0.06352042160737813
6, line interface,  0.04
7, addmdisk,  0.024884057971014492
8, storwize v7000,  0.021015873015873016
9, image mode volume,  0.016666666666666666
10, mkmdiskgrp -mdisk command,  0.010666666666666666
11, ** If the MDisk does not contain any extents in use by a volume If you can first migrate the extents in use onto other free extents within the group group About this taskImportant, 0
12, **  The MDisk does not exist, 0
13, **  degraded ports, 0
14, **  these tests fail or exceed the time, 0
15, **  therefore any existing data data on the MDisk is lost, 0
16, **  not visible to all Storwize V7000 nodes in the clustered clustered system, 0
17, **  to an MDisk test timeout The disk controller system on which the MDisk resides is failing, 0
18, **  512, 0
19, **  If tests fail, 0
20, **  it does not contain any MDisks, 0
