id, label, TF
1, storwize v7000,  0.39925907425907425
2, v7000 control enclosure,  0.17515262515262514
3, storwize v7000 control,  0.17515262515262514
4, storwize v7000 control enclosure,  0.17515262515262514
5, 2.5-inch drives,  0.05119880119880119
6, storwize v7000 gen2,  0.04768842268842269
7, v7000 expansion enclosure,  0.04597902097902097
8, storwize v7000 expansion,  0.04597902097902097
9, storwize v7000 expansion enclosure,  0.04597902097902097
10, following table,  0.044871794871794865
11, ** empty, 0
